time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-01-01 12:00:00,88.4247,1.5432433,85.916,92.516
1951-01-02 12:00:00,83.57409,1.073502,82.16,85.816
1951-01-03 12:00:00,87.304,1.1534529,86.448,91.248
1951-01-04 12:00:00,81.15061,1.6378357,78.564,86.012
1951-01-05 12:00:00,91.15113,1.3877661,89.064,94.092
1951-01-06 12:00:00,84.37826,1.1522284,82.116,86.028
1951-01-07 12:00:00,72.59165,1.4334497,70.588,75.688
1951-01-08 12:00:00,83.72609,2.1532874,82.056,90.98
1951-01-09 12:00:00,80.92487,1.7815092,79.32,86.684
1951-01-10 12:00:00,74.8553,3.0457401,70.416,79.996
1951-01-11 12:00:00,74.50783,1.7962744,72.368,78.636
1951-01-12 12:00:00,76.33461,1.3688424,73.828,79.012
1951-01-13 12:00:00,77.49878,1.491718,75.46,81.476
1951-01-14 12:00:00,86.31774,1.2474955,85.028,89.92
1951-01-15 12:00:00,92.571655,0.6213585,91.848,94.328
1951-01-16 12:00:00,90.872,0.70605034,90.216,92.856
1951-01-17 12:00:00,91.796524,0.8665519,90.248,93.664
1951-01-18 12:00:00,91.982605,0.45710588,91.328,93.364
1951-01-19 12:00:00,84.67739,1.9020015,83.356,90.94
1951-01-20 12:00:00,79.60992,1.4259068,77.948,83.88
1951-01-21 12:00:00,74.98869,1.3562256,73.024,78.028
1951-01-22 12:00:00,90.548,1.895233,87.892,95.088
1951-01-23 12:00:00,94.88348,1.2170006,92.728,96.672
1951-01-24 12:00:00,95.82731,1.0521399,92.22,96.7
1951-01-25 12:00:00,88.82139,1.7604345,85.892,92.98
1951-01-26 12:00:00,91.45339,0.85165536,90.172,93.864
1951-01-27 12:00:00,90.18556,1.4425218,89.06,94.756
1951-01-28 12:00:00,93.03009,0.93834215,91.628,95.668
1951-01-29 12:00:00,92.53095,1.1380724,90.388,94.512
1951-01-30 12:00:00,95.33513,0.64286023,93.24,95.956
1951-01-31 12:00:00,92.44278,1.4962279,89.116,94.76
1951-02-01 12:00:00,92.60591,1.2587291,89.92,95.048
1951-02-02 12:00:00,91.19756,0.910713,89.424,93.12
1951-02-03 12:00:00,87.75983,1.6659214,82.976,90.672
1951-02-04 12:00:00,74.72661,2.6004853,69.144,79.22
1951-02-05 12:00:00,77.07339,1.6377752,73.924,80.596
1951-02-06 12:00:00,82.21774,1.4515772,79.54,84.972
1951-02-07 12:00:00,76.99426,1.9374559,73.376,80.708
1951-02-08 12:00:00,71.004524,1.8452038,68.048,75.384
1951-02-09 12:00:00,77.554955,2.3240056,73.292,83.088
1951-02-10 12:00:00,91.83983,1.2872479,90.444,95.096
1951-02-11 12:00:00,88.07757,0.7673653,86.836,90.152
