time,tasmin_mean,tasmin_stdev,tasmin_min,tasmin_max
1951-01-01 12:00:00,-7.5304346,0.68170804,-8.9,-6.3
1951-01-02 12:00:00,-1.4913044,0.4772321,-2.6,-0.7
1951-01-03 12:00:00,-0.6,0.41493845,-1.9,-0.2
1951-01-04 12:00:00,0.04347827,0.57166886,-1.8,0.6
1951-01-05 12:00:00,0.8913044,0.6071409,-1.0,1.5
1951-01-06 12:00:00,3.2434783,0.3669215,2.3,3.8
1951-01-07 12:00:00,3.7608695,0.48966637,2.5,4.5
1951-01-08 12:00:00,3.2826087,0.5692498,1.5,3.8
1951-01-09 12:00:00,2.4652174,0.75906616,0.1,3.1
1951-01-10 12:00:00,-0.14347826,0.41370657,-1.3,0.3
1951-01-11 12:00:00,1.6043478,0.43185973,0.5,2.2
1951-01-12 12:00:00,2.6826086,0.3643364,1.8,3.2
1951-01-13 12:00:00,1.073913,0.35657474,0.0,1.5
1951-01-14 12:00:00,1.6869565,0.4445851,0.3,2.1
1951-01-15 12:00:00,0.6869565,0.35177112,-0.3,1.2
1951-01-16 12:00:00,0.81739134,0.45934942,-0.5,1.4
1951-01-17 12:00:00,0.7,0.5710403,-0.9,1.5
1951-01-18 12:00:00,2.7434783,0.631648,0.9,3.4
1951-01-19 12:00:00,2.2260869,0.6037689,0.4,2.8
1951-01-20 12:00:00,1.8434782,0.68640596,-0.2,2.5
1951-01-21 12:00:00,-3.047826,1.3496761,-7.0,-1.6
1951-01-22 12:00:00,-4.4,1.3181014,-8.2,-3.1
1951-01-23 12:00:00,1.9826087,0.34471434,1.0,2.4
1951-01-24 12:00:00,-1.3434783,0.2516486,-1.9,-1.0
1951-01-25 12:00:00,-3.3434782,0.3943361,-4.6,-3.0
1951-01-26 12:00:00,-3.1086957,0.4614844,-4.6,-2.8
1951-01-27 12:00:00,-1.5173913,0.25817448,-2.3,-1.2
1951-01-28 12:00:00,-0.96086955,0.2583209,-1.7,-0.7
1951-01-29 12:00:00,-2.0,0.27504942,-2.8,-1.7
1951-01-30 12:00:00,-2.095652,0.30994847,-3.1,-1.9
1951-01-31 12:00:00,-2.9652174,0.6498218,-5.0,-2.4
1951-02-01 12:00:00,-1.9565217,0.28410974,-2.8,-1.7
1951-02-02 12:00:00,-2.3043478,0.37472108,-3.4,-2.0
1951-02-03 12:00:00,-6.521739,0.18871771,-6.8,-6.2
1951-02-04 12:00:00,-6.426087,0.24885373,-7.0,-6.0
1951-02-05 12:00:00,0.49565217,0.28049377,-0.3,0.9
1951-02-06 12:00:00,0.7695652,0.20941904,0.4,1.2
1951-02-07 12:00:00,0.38260868,0.41141555,-0.7,0.9
1951-02-08 12:00:00,0.6826087,0.43803135,-0.2,1.3
1951-02-09 12:00:00,4.7043476,0.47956344,3.3,5.4
1951-02-10 12:00:00,1.6478261,0.3954849,0.4,2.1
1951-02-11 12:00:00,0.6652174,0.54182357,-1.0,1.2
1951-02-12 12:00:00,1.4478261,0.31604838,0.5,1.9
1951-02-13 12:00:00,-1.6782609,0.17183541,-2.0,-1.4
1951-02-14 12:00:00,-0.4173913,0.38521838,-1.7,-0.1
1951-02-15 12:00:00,0.1521739,0.6405633,-0.9,1.3
1951-02-16 12:00:00,-3.221739,0.6934203,-4.7,-2.2
1951-02-17 12:00:00,0.25652173,0.42816707,-0.5,1.0
1951-02-18 12:00:00,0.57826084,0.5778194,-1.2,1.2
1951-02-19 12:00:00,1.1043478,0.6032364,-0.7,1.9
1951-02-20 12:00:00,0.6913043,0.31884718,-0.2,1.2
1951-02-21 12:00:00,2.278261,0.6619842,0.3,3.0
1951-02-22 12:00:00,0.44347826,0.4251098,-0.8,1.0
1951-02-23 12:00:00,0.13043478,0.41329512,-1.1,0.6
1951-02-24 12:00:00,-0.65652174,0.50975364,-2.1,0.0
1951-02-25 12:00:00,-1.7913043,0.58896595,-3.8,-1.3
1951-02-26 12:00:00,-1.126087,0.6719326,-3.3,-0.6
1951-02-27 12:00:00,-1.6913043,0.55475265,-3.5,-1.1
1951-02-28 12:00:00,-2.595652,0.69687396,-4.8,-2.0
1951-03-01 12:00:00,-2.6826086,0.8810331,-5.5,-1.9
1951-03-02 12:00:00,-3.1478262,0.66454923,-5.2,-2.5
1951-03-03 12:00:00,-4.0304346,0.65370834,-6.0,-3.4
1951-03-04 12:00:00,-7.8739133,0.5326042,-9.4,-7.3
1951-03-05 12:00:00,-3.973913,0.4375996,-5.3,-3.5
1951-03-06 12:00:00,-5.869565,0.86247104,-8.4,-4.7
1951-03-07 12:00:00,-4.673913,0.2690036,-5.2,-4.2
1951-03-08 12:00:00,-3.2434783,0.28715408,-4.2,-3.0
1951-03-09 12:00:00,-3.8086956,0.4844657,-5.4,-3.4
1951-03-10 12:00:00,-4.4304347,0.60751444,-6.4,-4.0
1951-03-11 12:00:00,-1.726087,0.4151662,-2.9,-1.3
1951-03-12 12:00:00,-0.34347826,0.2464109,-0.7,0.3
1951-03-13 12:00:00,1.726087,0.7747187,0.2,3.5
1951-03-14 12:00:00,4.947826,0.66911334,2.9,5.7
1951-03-15 12:00:00,3.752174,0.6027975,1.8,4.3
1951-03-16 12:00:00,3.1434782,0.4322098,1.6,3.4
1951-03-17 12:00:00,6.004348,0.4759231,4.5,6.5
1951-03-18 12:00:00,7.5304346,0.5637104,5.6,7.8
1951-03-19 12:00:00,0.5173913,0.49839061,-1.1,1.0
1951-03-20 12:00:00,-2.1478262,1.0060122,-5.3,-1.2
1951-03-21 12:00:00,-5.308696,0.8123573,-7.6,-4.5
1951-03-22 12:00:00,-1.5347826,0.6862682,-3.8,-0.8
1951-03-23 12:00:00,2.1869564,0.4336943,0.9,2.8
1951-03-24 12:00:00,0.8608696,0.5654849,-0.9,1.4
1951-03-25 12:00:00,-1.5695652,0.6096576,-3.6,-1.1
1951-03-26 12:00:00,-1.0304348,0.89317936,-3.7,-0.1
1951-03-27 12:00:00,-0.22173913,0.57100713,-2.1,0.2
1951-03-28 12:00:00,-1.4217391,0.61002964,-3.2,-0.8
1951-03-29 12:00:00,-1.8304348,0.5008122,-3.3,-1.2
1951-03-30 12:00:00,-2.9826088,0.6786509,-4.9,-2.3
