time,rsds_mean,rsds_stdev,rsds_min,rsds_max
1951-04-05 12:00:00,177.96158,4.2147074,169.71811,187.89723
1951-04-06 12:00:00,109.66016,7.036642,98.42552,125.522766
1951-04-07 12:00:00,119.83789,8.930911,104.94038,137.22897
1951-04-08 12:00:00,149.67758,10.608006,119.613655,162.99059
1951-04-09 12:00:00,147.2,11.015823,114.28171,165.03694
1951-04-10 12:00:00,79.654495,4.6308265,70.80133,87.84169
1951-04-11 12:00:00,135.04947,5.203769,124.21789,143.35828
1951-04-12 12:00:00,217.9443,3.569525,211.86655,223.05597
1951-04-13 12:00:00,142.08504,8.322676,130.50618,160.53238
1951-04-14 12:00:00,135.309,3.9437506,127.207275,142.6235
1951-04-15 12:00:00,191.05026,8.695371,177.85884,206.70761
1951-04-16 12:00:00,205.59308,6.26468,194.1402,213.39969
1951-04-17 12:00:00,215.98012,3.902992,205.95604,222.16408
1951-04-18 12:00:00,224.20099,3.0212543,219.20396,229.59972
1951-04-19 12:00:00,122.38912,8.1282015,110.588806,141.38208
1951-04-20 12:00:00,204.54951,14.9944105,172.98605,230.53346
1951-04-21 12:00:00,225.7803,10.169759,208.41579,244.59807
1951-04-22 12:00:00,260.2098,5.221143,243.18008,266.01096
1951-04-23 12:00:00,263.44705,2.02794,260.5521,267.76538
1951-04-24 12:00:00,268.3984,3.203086,260.6726,274.01846
1951-04-25 12:00:00,272.7728,2.7894437,265.63187,277.2609
1951-04-26 12:00:00,225.56021,4.0042987,217.48807,231.24132
1951-04-27 12:00:00,93.22391,8.264702,82.118744,110.51981
1951-04-28 12:00:00,44.581795,7.9101725,36.137993,70.63648
1951-04-29 12:00:00,95.286354,2.4307113,91.39947,100.20743
1951-04-30 12:00:00,104.34414,2.721983,98.94073,108.58596
1951-05-01 12:00:00,267.09073,5.4762836,252.57039,275.74857
1951-05-02 12:00:00,249.95732,10.669235,223.399,262.85095
1951-05-03 12:00:00,114.40647,6.7049165,97.656166,127.08356
1951-05-04 12:00:00,156.6792,13.360196,129.81316,180.58815
1951-05-05 12:00:00,103.70103,4.793829,92.74783,112.16843
1951-05-06 12:00:00,253.78311,22.757778,205.8185,282.7126
1951-05-07 12:00:00,238.35492,12.26527,214.0593,255.90889
1951-05-08 12:00:00,135.77344,6.1586537,124.66568,145.44067
1951-05-09 12:00:00,87.68318,9.706818,79.48013,122.32461
1951-05-10 12:00:00,107.82152,8.561771,89.46485,122.493
1951-05-11 12:00:00,272.22952,9.032585,251.51118,281.23624
1951-05-12 12:00:00,301.5435,3.8384442,290.24716,307.37564
1951-05-13 12:00:00,201.47052,8.813387,184.72067,215.90836
1951-05-14 12:00:00,108.7333,4.6245193,101.84276,118.13955
1951-05-15 12:00:00,95.257935,2.245577,91.389305,100.82476
1951-05-16 12:00:00,161.42122,6.6204734,153.18277,175.6663
1951-05-17 12:00:00,193.35959,11.458616,170.59013,211.53894
1951-05-18 12:00:00,205.93398,21.75211,163.32887,238.10333
1951-05-19 12:00:00,259.91046,13.957553,224.72661,279.0895
1951-05-20 12:00:00,201.87154,6.5939407,190.3759,216.86165
1951-05-21 12:00:00,113.1665,3.1909842,108.18128,122.40464
1951-05-22 12:00:00,183.79578,4.566955,173.88576,192.5995
1951-05-23 12:00:00,162.57286,6.446956,147.52512,173.73897
1951-05-24 12:00:00,270.28653,14.993152,235.86847,285.19293
1951-05-25 12:00:00,221.66792,8.204248,210.86153,236.14253
1951-05-26 12:00:00,165.3127,5.6764607,154.05208,180.23744
1951-05-27 12:00:00,61.499798,7.1777487,51.379993,75.04123
1951-05-28 12:00:00,112.752075,4.8819666,103.58067,121.522064
1951-05-29 12:00:00,103.0634,5.272808,90.17152,109.597755
1951-05-30 12:00:00,193.31673,17.249512,165.40337,224.33287
1951-05-31 12:00:00,324.73288,4.541568,314.2166,330.57782
1951-06-01 12:00:00,311.5721,5.5663047,296.4259,321.2601
1951-06-02 12:00:00,177.71838,6.13634,166.0056,187.29802
1951-06-03 12:00:00,128.31671,5.1375422,117.09724,138.03888
1951-06-04 12:00:00,160.30257,7.0664816,142.20683,174.95433
1951-06-05 12:00:00,113.160385,9.515006,104.199356,145.9464
1951-06-06 12:00:00,279.15997,8.221856,251.94067,287.1153
1951-06-07 12:00:00,188.57468,16.035791,154.74754,219.4035
1951-06-08 12:00:00,265.449,9.44166,247.44691,279.8484
