time,tasmax_mean,tasmax_stdev,tasmax_min,tasmax_max
1951-01-01 12:00:00,1.1521739,0.49858022,-0.4,1.7
1951-01-02 12:00:00,3.021739,0.48540124,1.5,3.5
1951-01-03 12:00:00,2.173913,0.38698095,1.1,2.6
1951-01-04 12:00:00,2.0913043,0.7851408,-0.3,3.0
1951-01-05 12:00:00,4.478261,0.50986487,3.3,5.2
1951-01-06 12:00:00,6.4086957,0.5468591,4.6,6.9
1951-01-07 12:00:00,6.4391303,0.66642404,4.5,7.3
1951-01-08 12:00:00,5.621739,0.7983442,3.3,6.4
1951-01-09 12:00:00,5.0913043,0.6800978,3.1,5.9
1951-01-10 12:00:00,4.5478263,0.50032127,3.5,5.3
1951-01-11 12:00:00,7.5869565,0.64491624,5.7,8.3
1951-01-12 12:00:00,8.947826,0.6632394,6.9,9.6
1951-01-13 12:00:00,5.03913,0.80689377,2.7,6.0
1951-01-14 12:00:00,5.2043476,0.78986967,2.9,6.1
1951-01-15 12:00:00,4.9173913,0.6253014,3.0,5.5
1951-01-16 12:00:00,3.9869566,0.904724,1.2,4.8
1951-01-17 12:00:00,3.1565218,0.8731881,0.9,4.2
1951-01-18 12:00:00,5.8130436,0.9209184,3.0,6.6
1951-01-19 12:00:00,4.4869566,0.7836949,2.1,5.2
1951-01-20 12:00:00,4.213043,0.7314692,2.0,4.9
1951-01-21 12:00:00,2.3913043,0.75291497,0.3,3.4
1951-01-22 12:00:00,3.2043478,0.53849894,1.8,3.8
1951-01-23 12:00:00,4.2130437,0.4803118,2.8,4.7
1951-01-24 12:00:00,3.7260869,0.26079708,3.0,4.1
1951-01-25 12:00:00,0.7304348,0.38610068,-0.3,1.2
1951-01-26 12:00:00,-1.0956522,0.32232612,-2.1,-0.8
1951-01-27 12:00:00,1.6347826,0.5938882,-0.2,2.2
1951-01-28 12:00:00,1.1608696,0.31997162,0.3,1.6
1951-01-29 12:00:00,-0.22173913,0.26858166,-0.9,0.1
1951-01-30 12:00:00,0.16956522,0.5488603,-0.3,2.0
1951-01-31 12:00:00,-0.06521739,0.716033,-0.5,2.5
1951-02-01 12:00:00,0.74347824,0.20605208,0.3,1.3
1951-02-02 12:00:00,0.121739134,0.35625654,-0.8,0.6
1951-02-03 12:00:00,-1.7347826,0.17841984,-2.3,-1.4
1951-02-04 12:00:00,3.721739,0.7592654,1.4,4.5
1951-02-05 12:00:00,5.7913046,0.50382286,4.9,6.8
1951-02-06 12:00:00,5.4,0.6896754,3.4,6.3
1951-02-07 12:00:00,6.769565,0.8206226,4.4,7.8
1951-02-08 12:00:00,6.3782606,0.7666735,4.0,7.1
