time,pr_mean,pr_stdev,pr_min,pr_max
1951-04-10 18:00:00,6.9882355,1.5959995,4.3,10.4
1951-04-11 18:00:00,2.335294,0.5792401,1.7,4.0
1951-04-12 18:00:00,0.22205882,0.29597574,0.0,1.3
1951-04-13 18:00:00,2.3294117,0.5868808,1.4,3.7
1951-04-14 18:00:00,3.3588235,0.87803847,1.3,5.1
1951-04-15 18:00:00,0.0029411765,0.016895773,0.0,0.1
1951-04-16 18:00:00,0.09852941,0.14702205,0.0,0.7
1951-04-17 18:00:00,0.25588235,0.26199594,0.0,1.0
1951-04-18 18:00:00,0.0,0.0,0.0,0.0
1951-04-19 18:00:00,1.5720588,1.2118102,0.0,5.0
1951-04-20 18:00:00,0.0,0.0,0.0,0.0
1951-04-21 18:00:00,0.80588233,1.052292,0.0,3.6
1951-04-22 18:00:00,0.0,0.0,0.0,0.0
1951-04-23 18:00:00,0.0,0.0,0.0,0.0
1951-04-24 18:00:00,0.0,0.0,0.0,0.0
1951-04-25 18:00:00,0.0,0.0,0.0,0.0
1951-04-26 18:00:00,0.0,0.0,0.0,0.0
1951-04-27 18:00:00,2.802941,1.2538142,1.2,6.6
1951-04-28 18:00:00,0.47352943,0.25299248,0.0,1.1
1951-04-29 18:00:00,0.11029412,0.09570129,0.0,0.3
1951-04-30 18:00:00,1.4970589,0.39144173,0.7,2.2
1951-05-01 18:00:00,0.0,0.0,0.0,0.0
1951-05-02 18:00:00,0.0,0.0,0.0,0.0
1951-05-03 18:00:00,0.04411765,0.060347896,0.0,0.2
1951-05-04 18:00:00,7.904412,1.8538857,4.1,11.3
1951-05-05 18:00:00,10.435294,1.9746753,5.7,14.1
1951-05-06 18:00:00,0.0,0.0,0.0,0.0
1951-05-07 18:00:00,0.0,0.0,0.0,0.0
1951-05-08 18:00:00,0.92352945,0.7416432,0.0,2.8
1951-05-09 18:00:00,0.11470588,0.10038852,0.0,0.4
1951-05-10 18:00:00,0.00882353,0.028363679,0.0,0.1
1951-05-11 18:00:00,0.0,0.0,0.0,0.0
1951-05-12 18:00:00,0.0,0.0,0.0,0.0
1951-05-13 18:00:00,1.1279411,0.36895943,0.3,2.0
1951-05-14 18:00:00,4.8308825,1.2117388,2.6,7.8
1951-05-15 18:00:00,3.3279412,0.48381013,2.2,4.3
1951-05-16 18:00:00,1.225,0.6759253,0.0,2.8
1951-05-17 18:00:00,0.4632353,0.34424016,0.0,1.6
1951-05-18 18:00:00,0.1882353,0.29131013,0.0,1.0
1951-05-19 18:00:00,0.0,0.0,0.0,0.0
1951-05-20 18:00:00,3.764706,1.2141039,1.8,7.1
1951-05-21 18:00:00,11.283824,1.5262998,7.9,13.9
1951-05-22 18:00:00,3.6029413,0.39031306,2.5,4.5
1951-05-23 18:00:00,3.7397058,0.65487754,2.0,4.6
1951-05-24 18:00:00,0.0,0.0,0.0,0.0
1951-05-25 18:00:00,4.605882,0.32849136,4.0,5.5
1951-05-26 18:00:00,5.6735296,1.6260397,3.3,9.6
1951-05-27 18:00:00,20.361765,1.1984094,17.9,23.0
1951-05-28 18:00:00,10.613235,1.6887957,6.9,14.2
1951-05-29 18:00:00,0.6661765,0.74569553,0.0,2.7
1951-05-30 18:00:00,0.1382353,0.21897449,0.0,0.8
1951-05-31 18:00:00,0.0,0.0,0.0,0.0
1951-06-01 18:00:00,0.0,0.0,0.0,0.0
1951-06-02 18:00:00,3.0823529,1.718493,0.7,6.8
1951-06-03 18:00:00,6.625,0.88357145,4.8,9.1
1951-06-04 18:00:00,0.31323528,0.45403564,0.0,2.0
1951-06-05 18:00:00,1.8294117,0.7553843,0.4,3.3
1951-06-06 18:00:00,0.0,0.0,0.0,0.0
1951-06-07 18:00:00,0.0,0.0,0.0,0.0
1951-06-08 18:00:00,0.0,0.0,0.0,0.0
1951-06-09 18:00:00,11.57647,1.2277571,9.6,14.0
1951-06-10 18:00:00,6.220588,1.5555933,3.5,9.4
1951-06-11 18:00:00,0.0,0.0,0.0,0.0
1951-06-12 18:00:00,6.8058825,0.88913083,4.8,8.5
1951-06-13 18:00:00,0.06764706,0.100646704,0.0,0.3
1951-06-14 18:00:00,0.0,0.0,0.0,0.0
1951-06-15 18:00:00,5.022059,3.6174757,1.0,12.1
1951-06-16 18:00:00,0.24852942,0.3065427,0.0,1.3
1951-06-17 18:00:00,38.705883,4.536223,24.0,46.7
1951-06-18 18:00:00,5.095588,1.8314599,0.4,8.8
1951-06-19 18:00:00,0.10147059,0.15857142,0.0,0.6
1951-06-20 18:00:00,0.0,0.0,0.0,0.0
1951-06-21 18:00:00,0.0,0.0,0.0,0.0
1951-06-22 18:00:00,0.03382353,0.05032335,0.0,0.2
1951-06-23 18:00:00,14.782352,1.284631,12.7,18.4
1951-06-24 18:00:00,0.41029412,0.54371804,0.0,1.8
1951-06-25 18:00:00,0.3970588,0.3780642,0.0,1.6
1951-06-26 18:00:00,13.469118,3.0518682,8.7,20.9
1951-06-27 18:00:00,27.492647,3.9590669,20.4,33.3
1951-06-28 18:00:00,2.3470588,0.47231302,1.7,3.5
1951-06-29 18:00:00,0.030882353,0.05754117,0.0,0.2
1951-06-30 18:00:00,0.0,0.0,0.0,0.0
1951-07-01 18:00:00,0.0,0.0,0.0,0.0
1951-07-02 18:00:00,0.0,0.0,0.0,0.0
1951-07-03 18:00:00,0.9514706,0.33408904,0.1,1.6
1951-07-04 18:00:00,8.770588,0.7190801,6.9,10.2
1951-07-05 18:00:00,0.0,0.0,0.0,0.0
1951-07-06 18:00:00,0.19558825,0.08122921,0.0,0.3
1951-07-07 18:00:00,0.0,0.0,0.0,0.0
1951-07-08 18:00:00,2.8441176,1.0997837,1.3,6.7
1951-07-09 18:00:00,1.8720589,1.0709871,0.5,4.8
1951-07-10 18:00:00,0.0,0.0,0.0,0.0
1951-07-11 18:00:00,0.24852942,0.16758901,0.0,0.7
1951-07-12 18:00:00,1.6588235,0.7052816,0.2,3.5
1951-07-13 18:00:00,0.3617647,0.31249914,0.0,1.6
1951-07-14 18:00:00,0.17941177,0.15488024,0.0,0.6
1951-07-15 18:00:00,7.3867645,0.49879396,6.0,8.3
1951-07-16 18:00:00,0.3647059,0.2888948,0.0,1.1
1951-07-17 18:00:00,0.0,0.0,0.0,0.0
1951-07-18 18:00:00,2.5617647,0.8440152,0.7,3.7
1951-07-19 18:00:00,0.14558823,0.10905183,0.0,0.4
1951-07-20 18:00:00,2.575,0.530642,1.6,3.3
1951-07-21 18:00:00,0.0029411765,0.016895773,0.0,0.1
1951-07-22 18:00:00,1.2014706,0.47294217,0.1,1.9
1951-07-23 18:00:00,3.2941177,1.8979,0.5,7.7
1951-07-24 18:00:00,10.34853,3.3412526,5.3,17.9
1951-07-25 18:00:00,8.929412,1.7599347,5.9,16.3
1951-07-26 18:00:00,1.7176471,0.84765095,0.9,4.9
1951-07-27 18:00:00,0.0,0.0,0.0,0.0
1951-07-28 18:00:00,0.0,0.0,0.0,0.0
1951-07-29 18:00:00,0.9941176,0.8341749,0.0,3.3
1951-07-30 18:00:00,0.0,0.0,0.0,0.0
1951-07-31 18:00:00,0.8897059,0.5757705,0.0,1.9
1951-08-01 18:00:00,2.6029413,1.4313682,0.6,6.4
1951-08-02 18:00:00,0.0014705883,0.012037284,0.0,0.1
1951-08-03 18:00:00,0.0,0.0,0.0,0.0
1951-08-04 18:00:00,0.9794118,1.1169232,0.0,4.8
1951-08-05 18:00:00,0.0,0.0,0.0,0.0
1951-08-06 18:00:00,0.0,0.0,0.0,0.0
1951-08-07 18:00:00,7.329412,0.7205102,5.3,8.9
1951-08-08 18:00:00,6.054412,2.5453784,3.8,17.6
1951-08-09 18:00:00,37.757355,3.6641471,30.0,45.4
1951-08-10 18:00:00,2.9558823,0.63509667,1.6,4.4
1951-08-11 18:00:00,0.92058825,0.60355777,0.0,2.3
1951-08-12 18:00:00,1.617647,0.4598405,0.8,2.6
1951-08-13 18:00:00,5.477941,0.69975746,3.7,6.7
1951-08-14 18:00:00,0.19411765,0.26561934,0.0,1.0
1951-08-15 18:00:00,0.0,0.0,0.0,0.0
1951-08-16 18:00:00,0.0,0.0,0.0,0.0
1951-08-17 18:00:00,0.03382353,0.06326949,0.0,0.2
1951-08-18 18:00:00,0.48235294,0.3338462,0.0,1.5
1951-08-19 18:00:00,0.4897059,0.58840257,0.0,1.8
1951-08-20 18:00:00,8.569118,2.5201106,3.5,12.9
1951-08-21 18:00:00,1.3102942,0.4109314,0.6,2.6
1951-08-22 18:00:00,0.00882353,0.028363679,0.0,0.1
1951-08-23 18:00:00,0.023529412,0.059699364,0.0,0.3
1951-08-24 18:00:00,0.0,0.0,0.0,0.0
1951-08-25 18:00:00,0.05147059,0.09624211,0.0,0.4
1951-08-26 18:00:00,0.0,0.0,0.0,0.0
1951-08-27 18:00:00,0.5617647,0.36623257,0.0,1.2
