time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-04-11 12:00:00,85.31267,2.3001604,81.828,88.104
1951-04-12 12:00:00,72.014,2.3373492,68.8,74.828
1951-04-13 12:00:00,74.232666,1.66789,71.852,76.232
1951-04-14 12:00:00,90.90666,1.2730027,89.144,92.716
1951-04-15 12:00:00,74.78533,1.0754203,73.036,76.048
1951-04-16 12:00:00,50.968666,0.52325845,50.144,51.58
1951-04-17 12:00:00,66.849335,1.1740639,65.208,68.632
1951-04-18 12:00:00,54.173332,2.098714,51.204,57.3
1951-04-19 12:00:00,77.486664,1.0058184,76.096,79.06
1951-04-20 12:00:00,46.355335,1.3978224,44.46,48.332
1951-04-21 12:00:00,69.842,1.9438851,67.172,72.316
1951-04-22 12:00:00,57.348667,0.4846962,56.516,58.112
1951-04-23 12:00:00,39.662,1.562954,37.444,41.924
1951-04-24 12:00:00,29.239334,1.9121833,26.736,31.92
1951-04-25 12:00:00,34.982666,1.315296,33.092,36.916
1951-04-26 12:00:00,43.55,0.92230684,42.5,44.908
1951-04-27 12:00:00,77.1,3.2388325,72.32,82.16
1951-04-28 12:00:00,86.446,1.3884764,84.58,88.344
1951-04-29 12:00:00,82.9,1.7697834,80.312,85.388
1951-04-30 12:00:00,87.428665,1.3219136,85.408,89.108
1951-05-01 12:00:00,64.89467,1.7848752,62.2,67.528
1951-05-02 12:00:00,74.49733,1.5542741,72.096,76.92
1951-05-03 12:00:00,80.333336,1.7444518,77.704,82.364
1951-05-04 12:00:00,74.58133,2.2437093,71.34,78.04
1951-05-05 12:00:00,90.649994,2.1711597,87.464,93.212
1951-05-06 12:00:00,76.74133,1.3198339,75.16,78.568
1951-05-07 12:00:00,73.57266,1.5998939,71.58,76.376
1951-05-08 12:00:00,84.53067,1.4465667,82.296,86.44
1951-05-09 12:00:00,90.25867,1.834288,87.816,92.732
1951-05-10 12:00:00,81.85467,3.0269706,77.1,85.436
1951-05-11 12:00:00,67.147995,2.4730778,63.472,70.032
1951-05-12 12:00:00,57.79,0.35871527,57.336,58.332
1951-05-13 12:00:00,61.769333,1.6177164,59.392,63.688
1951-05-14 12:00:00,88.265335,1.1430339,86.756,89.812
1951-05-15 12:00:00,92.29666,1.8675511,89.636,94.588
1951-05-16 12:00:00,87.126,1.706504,84.624,89.064
1951-05-17 12:00:00,81.580666,2.050637,78.676,84.272
1951-05-18 12:00:00,80.414665,2.4484768,76.56,83.144
1951-05-19 12:00:00,78.60934,2.4589212,74.904,81.408
1951-05-20 12:00:00,72.391335,2.6889446,68.208,76.144
1951-05-21 12:00:00,90.590004,0.44522175,89.944,91.276
1951-05-22 12:00:00,76.50467,0.5186723,75.756,77.196
1951-05-23 12:00:00,78.09534,0.67816716,76.8,78.872
1951-05-24 12:00:00,71.293335,1.1374782,69.464,72.556
1951-05-25 12:00:00,66.772,1.0229026,65.456,68.448
1951-05-26 12:00:00,82.89333,1.0721147,81.304,84.116
1951-05-27 12:00:00,95.669334,1.4196125,93.668,97.444
1951-05-28 12:00:00,94.304,2.4915977,90.808,97.34
1951-05-29 12:00:00,92.097336,1.9701929,89.148,94.612
1951-05-30 12:00:00,74.92934,1.7304897,72.432,76.932
1951-05-31 12:00:00,51.468,0.9021874,49.92,52.648
1951-06-01 12:00:00,48.582,0.5977544,47.712,49.568
1951-06-02 12:00:00,71.709335,0.9396315,70.256,72.8
1951-06-03 12:00:00,88.872665,0.6948627,87.98,89.744
1951-06-04 12:00:00,82.332664,0.7332174,81.22,83.304
1951-06-05 12:00:00,85.47733,1.0529201,83.828,86.728
1951-06-06 12:00:00,70.802666,0.83579206,69.38,71.844
1951-06-07 12:00:00,75.642,1.3320037,73.836,77.4
1951-06-08 12:00:00,75.47667,2.3851883,72.24,79.264
1951-06-09 12:00:00,59.828,0.8705372,58.8,61.22
1951-06-10 12:00:00,92.85,1.4635944,90.7,94.784
1951-06-11 12:00:00,81.03267,1.5137627,78.664,82.672
1951-06-12 12:00:00,74.12334,1.075917,72.568,75.468
1951-06-13 12:00:00,85.804,1.7380185,83.292,88.22
1951-06-14 12:00:00,72.066,0.7724618,70.728,72.904
1951-06-15 12:00:00,70.11733,0.21149147,69.804,70.404
1951-06-16 12:00:00,89.996666,1.6027232,87.352,92.028
1951-06-17 12:00:00,83.0,1.4714627,80.604,84.872
1951-06-18 12:00:00,88.592,0.6741481,87.556,89.564
1951-06-19 12:00:00,82.31267,0.93946207,80.96,83.464
1951-06-20 12:00:00,68.218,0.9122041,67.096,69.772
1951-06-21 12:00:00,61.519333,1.7937306,58.768,64.304
1951-06-22 12:00:00,67.83667,0.6854432,66.928,68.928
1951-06-23 12:00:00,74.218,0.6968158,73.156,75.008
1951-06-24 12:00:00,92.11467,1.6440771,89.644,94.06
1951-06-25 12:00:00,83.91534,1.7196693,81.404,86.008
1951-06-26 12:00:00,86.46933,1.1823328,84.616,87.7
