time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-01-01 12:00:00,90.9208,0.67215824,89.632,91.772
1951-01-02 12:00:00,91.068,0.269055,90.476,91.392
1951-01-03 12:00:00,93.828,0.5026461,92.944,94.632
1951-01-04 12:00:00,86.5724,1.076643,84.484,88.032
1951-01-05 12:00:00,93.2376,0.8587198,91.576,94.36
1951-01-06 12:00:00,93.2188,1.2800132,90.472,94.744
1951-01-07 12:00:00,82.0432,1.0153257,80.608,83.512
1951-01-08 12:00:00,92.2272,0.6537776,90.996,93.156
1951-01-09 12:00:00,91.7656,0.47927645,91.052,92.528
1951-01-10 12:00:00,84.1932,0.86472154,82.712,85.3
1951-01-11 12:00:00,89.369995,0.7793207,88.068,90.524
1951-01-12 12:00:00,81.578804,0.63312566,80.496,82.456
1951-01-13 12:00:00,81.886,0.45049003,81.232,82.412
1951-01-14 12:00:00,91.284,0.42634022,90.588,91.852
1951-01-15 12:00:00,90.587204,0.29606473,90.1,91.064
1951-01-16 12:00:00,90.4648,0.11012472,90.296,90.684
1951-01-17 12:00:00,92.9984,0.5062362,91.888,93.692
1951-01-18 12:00:00,94.6912,0.18675172,94.412,94.928
1951-01-19 12:00:00,88.5056,0.1980246,88.244,88.884
1951-01-20 12:00:00,82.1216,0.5436215,81.14,82.828
1951-01-21 12:00:00,78.4368,0.22123304,78.116,78.828
1951-01-22 12:00:00,91.8876,0.097002745,91.628,92.0
1951-01-23 12:00:00,96.094,0.60729134,95.148,96.84
1951-01-24 12:00:00,96.4152,0.19467972,96.024,96.676
1951-01-25 12:00:00,74.2428,1.0109249,72.848,76.284
1951-01-26 12:00:00,89.3832,0.56291014,88.372,90.2
1951-01-27 12:00:00,91.6696,0.37829596,91.144,92.28
1951-01-28 12:00:00,92.7548,0.15707432,92.484,93.036
1951-01-29 12:00:00,89.395996,0.50854915,88.256,89.948
1951-01-30 12:00:00,88.6164,0.3737752,88.24,89.552
1951-01-31 12:00:00,83.8632,0.22247094,83.452,84.192
1951-02-01 12:00:00,84.2576,0.36202613,83.848,84.94
1951-02-02 12:00:00,82.6424,0.47932756,81.904,83.452
1951-02-03 12:00:00,81.9796,0.5109946,81.116,82.744
